Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate
"Between 1952 and 1954 did the number of TV stations in the USA double, triple or quadruple?","Between 1952 and 1954, the number of TV stations in the USA doubled from around 1,000 to over 2,000.",17,24,19,31,1.494318008
What was Wham!'s first No 1?,Wham!'s first No 1 was 'Last Christmas' in 1984.,6,11,9,19,0.968352795
Which musical featured the song You'll Never Walk Alone?,The musical that featured the song You'll Never Walk Alone is the musical production of the same name.,9,12,18,21,1.053565025
In which year was Bloody Sunday in Londonderry?,Bloody Sunday in Londonderry occurred in 1969.,8,11,7,13,0.685483932
The first untethered space walk took place from which space craft?,The first untethered space walk took place from the Soviet Union's Salyut 1 spacecraft in 1971.,11,14,16,26,1.250439167
What was the main color of a Storm trooper in Star Wars?,The main color of a Storm trooper in Star Wars was white.,12,14,12,14,0.725169897
Richard Nixon was Vice President to which US state?,"Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to which US state?
Richard Nixon was Vice President to",9,10,411,501,22.54975581
Luxor international airport is in which country?,Luxor international airport is in Egypt.,7,9,6,8,0.463249445
Which country did Albert Einstein move to as the Nazis rose to power?,Albert Einstein moved to the United States in 1930.,13,14,9,12,0.64437294
In the 90s how many points have been awarded for finishing first in a Grand Prix?,"In the 90s, the number of points awarded for finishing first in a Grand Prix varied depending on the race. In some races, the winner received 25 points, while in others it was 20 or 15.",16,19,36,46,2.197038889
Which lawyer made Raymond Burr famous?,Raymond Burr made himself famous as a lawyer in the 1950s and 1960s. He was known for his role in the Watergate scandal and for representing the Nixon administration.,6,8,29,40,1.89210248
Which broadcasting company did Edward J Noble found?,Edward J Noble founded the broadcasting company called the Edward J. Noble Foundation.,8,9,13,15,0.793548346
In which decade did the Jackson 5 sign to Motown?,"The Jackson 5 signed to Motown in the 1970s, specifically in 1972.",10,13,12,21,1.073946238
How many vice presidents did Franklin D Roosevelt have?,"Franklin D Roosevelt had two vice presidents during his time in office. His first vice president was John Nance Garner, who served from 1933 to 1941. His second vice president was Harry S. Truman, who served from 1945 to 1953.",9,10,40,56,2.604608059
In which state is Harrah's Auto Collection situated?,"Harrah's Auto Collection is situated in Las Vegas, Nevada.",8,12,9,14,0.729974031
What was the name of Gene Autry's horse?,The name of Gene Autry's horse was 'Champ'.,8,12,8,14,0.716484308
Which city has a sports team of Steelers and team of Pirates?,"Pittsburgh, Pennsylvania",12,13,2,4,0.279247761
"What did Fort Dearborn, Indian Territory change its name to?","Fort Dearborn, Indian Territory changed its name to Fort Detroit.",10,13,10,13,0.687590599
Bill Berry retired through ill health as a drummer in which band?,Bill Berry retired through ill health as a drummer in the band R.E.M.,12,13,13,18,0.910363913
Leslie Nielsen trained in which of the armed services in WWII?,Leslie Nielsen trained in the Navy.,11,13,6,8,0.466816902
What went with Blood and Sweat in the name of the 60s rock band?,"I'm sorry, I cannot provide an answer as there is no specific information available regarding a rock band named Blood and Sweat.",14,17,22,26,1.27341795
Which musical featured the song I Feel Pretty?,The musical featured the song I Feel Pretty is called Pretty Little Liars.,8,9,13,15,0.770314932
Who produced the first Jetliner in 1957?,The first Jetliner was produced by Boeing in 1957.,7,11,9,13,0.68575573
In which decade of the 20th century was James Caan born?,"James Caan was born in 1940, which was the 1950s decade.",11,15,11,19,0.954940796
In which country is the deepwater port of Trondheim?,The deepwater port of Trondheim is located in Norway.,9,13,9,13,0.691494703
In which state is Camp David?,"Camp David is located in Maryland, United States.",6,7,8,10,0.550320625
What was the Statue of Liberty originally called?,The Statue of Liberty was originally called the 'Liberty Enlightened' and was designed by Frédéric Auguste Bartholdi.,8,9,17,28,1.338813066
Who sang the Bond theme form From Russia With Love?,"The singer of the Bond theme from From Russia With Love is the singer of the song, Tom Jones.",10,11,19,21,1.025174141
Which company was responsible for the oil spill in New York harbor in 1990?,The company responsible for the oil spill in New York harbor in 1990 was Exxon Corporation.,14,17,16,19,0.939718962
In which country was Arnold Schwarzenegger born?,Arnold Schwarzenegger was born in Austria.,7,10,6,10,0.552478075
Who had an 80s No 1 with Don't You Want Me?,The song was written by the band Human League and was a hit in the UK in 1981.,11,17,18,21,1.055520535
Which star of Hannah And Her Sisters has a child called Free?,"I'm sorry, I cannot provide an accurate answer as there is no child named Free in the Hannah And Her Sisters franchise.",12,13,22,26,1.25761652
Who had 70s hits with Have You Seen Her and Oh Girl?,The artist who had 70s hits with Have You Seen Her and Oh Girl is Bobby Vee.,12,15,17,21,1.030032158
In which decade of the 20th century was Father's Day first celebrated?,Father's Day was first celebrated in the United States in 1910.,12,17,11,16,0.815936565
"""What was the name of the """"girl with kaleidoscope eyes"""" in a Beatles song?""","The name of the """"girl with kaleidoscope eyes"""" in a Beatles song is """"She's Leaving Home.""",14,21,16,26,1.247359037
Will Rogers airport was built in which US state?,"Will Rogers airport was built in Oklahoma, United States.",9,10,9,11,0.600405216
What writer was expelled from West Point for showing up for a public parade wearing only a white belt and gloves?,"The writer was not expelled from West Point for wearing a white belt and gloves, but rather for failing to attend a parade.",21,22,23,25,1.196917295
"""What couple live next door to Dagwood and Blondie Bumstead in """"Blondie""""?""","I'm sorry, I cannot provide an answer to that question as it is not a specific enough prompt to generate a response.",12,24,22,26,1.29307723
Who was the Lone Ranger's great grand-nephew?,The Lone Ranger's great grand-nephew was named John T. Reid.,7,14,10,18,0.908340216
"""Psychologist William Moulton Marston, inventor of the polygraph, or lie detector, also created a famous comic book heroine,. Who was she?""""""","Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""""""Who was she?""",21,33,193,479,21.57738924
